Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime
XA|S16||MH1|-8.97|15.51|0.0|0.0|334.5|0.0|Apollo PSE Alsep Seismometer|2.86113E9|1.0|M|6.625|1975-06-29T00:00:00|1977-03-26T14:52:00
XA|S16||MH1|-8.97|15.51|0.0|0.0|334.5|0.0|Apollo PSE Alsep Seismometer|3.57916E9|1.0|M|6.625|1977-03-26T14:52:00|1977-09-30T18:50:00
XA|S16||MH2|-8.97|15.51|0.0|0.0|64.5|0.0|Apollo PSE Alsep Seismometer|3.57916E9|1.0|M|6.625|1972-04-21T20:20:00|1975-06-28T00:07:00
XA|S16||MH2|-8.97|15.51|0.0|0.0|64.5|0.0|Apollo PSE Alsep Seismometer|2.86113E9|1.0|M|6.625|1975-06-29T00:00:00|1977-03-26T14:52:00
XA|S16||MH2|-8.97|15.51|0.0|0.0|64.5|0.0|Apollo PSE Alsep Seismometer|3.57916E9|1.0|M|6.625|1977-03-26T14:52:00|1977-09-30T18:50:00
XA|S16||MHZ|-8.97|15.51|0.0|0.0|0.0|-90.0|Apollo PSE Alsep Seismometer|3.57916E9|1.0|M|6.625|1972-04-21T20:20:00|1975-06-28T00:07:00
XA|S16||MHZ|-8.97|15.51|0.0|0.0|0.0|-90.0|Apollo PSE Alsep Seismometer|2.86113E9|1.0|M|6.625|1975-06-29T00:00:00|1977-03-26T14:52:00
XA|S16||MHZ|-8.97|15.51|0.0|0.0|0.0|-90.0|Apollo PSE Alsep Seismometer|3.57916E9|1.0|M|6.625|1977-03-26T14:52:00|1977-09-30T18:50:00
XA|S16||SHZ|-8.97577|15.49649|7.0|0.0|0.0|-90.0|Apollo PSE Alsep Seismometer|1.00881E10|10.0|M|53.0|1972-04-21T20:20:00|1977-09-30T18:50:00
XA|S16|00|MH1|-8.97577|15.49649|7.0|0.0|334.5|0.0|Apollo PSE Alsep Seismometer|3.57916E9|1.0|M|6.625|1972-04-21T20:20:00|1977-09-30T18:50:00
XA|S16|00|MH2|-8.97577|15.49649|7.0|0.0|64.5|0.0|Apollo PSE Alsep Seismometer|3.57916E9|1.0|M|6.625|1972-04-21T20:20:00|1977-09-30T18:50:00
XA|S16|00|MHZ|-8.97577|15.49649|7.0|0.0|0.0|-90.0|Apollo PSE Alsep Seismometer|3.57916E9|1.0|M|6.625|1972-04-21T20:20:00|1977-09-30T18:50:00
XA|S16|01|MH1|-8.97577|15.49649|7.0|0.0|334.5|0.0|Apollo PSE Alsep Seismometer|2.86113E9|1.0|M|6.625|1972-04-21T20:20:00|1977-09-30T18:50:00
XA|S16|01|MH2|-8.97577|15.49649|7.0|0.0|64.5|0.0|Apollo PSE Alsep Seismometer|2.86113E9|1.0|M|6.625|1972-04-21T20:20:00|1977-09-30T18:50:00
XA|S16|01|MHZ|-8.97577|15.49649|7.0|0.0|0.0|-90.0|Apollo PSE Alsep Seismometer|2.86113E9|1.0|M|6.625|1972-04-21T20:20:00|1977-09-30T18:50:00
